potential,N_A,N_B,m_A,m_B,T,rho,S_EX,eta,D_A,D_B,R,gamma
SCLJ,1024.0,,1.0,,0.7,0.85,-3.670736,3.4706118964290265,0.029316141731013327,,0.9585771861447044,5.7969974889032105
SCLJ,1024.0,,1.0,,0.9,0.85,-3.408314,3.0018590581462217,0.04275731949563042,,0.96740467926251,5.669957144814117
SCLJ,1024.0,,1.0,,1.1,0.85,-3.208725,2.741077520973662,0.05855370888585624,,0.9727677310232432,5.5700402482337
SCLJ,1024.0,,1.0,,1.3,0.85,-3.049867,2.5729137397891173,0.07058470981335513,,0.9765018811723436,5.48911562316894
SCLJ,1024.0,,1.0,,1.5,0.85,-2.91927,2.475580260648844,0.08528754376387006,,0.97917677175091,5.4215601082869025
SCLJ,1024.0,,1.0,,1.7,0.85,-2.809205,2.4032323966086904,0.10004145750909553,,0.9812211039599849,5.363312411130591
SCLJ,1024.0,,1.0,,1.9,0.85,-2.714654,2.350483946291434,0.11263790010425473,,0.9828731157575448,5.313844883150692
SCLJ,1024.0,,1.0,,2.1,0.85,-2.632207,2.3207929623768653,0.1275607934420875,,0.9842014035691906,5.269483917139251
SCLJ,1024.0,,1.0,,3.0,0.85,-2.358293,2.2309812488634457,0.1908350844936325,,0.9881681028531538,5.121030478929957
SCLJ,1024.0,,1.0,,4.0,0.85,-2.15931,2.219360067726764,0.2501479752833765,,0.9905892164853884,5.011438243774734
SCLJ,1024.0,,1.0,,5.0,0.85,-2.017867,2.2274036703086613,0.32067050611902065,,0.9921162740591092,4.931728922901559
SCLJ,1024.0,,1.0,,7.0,0.85,-1.824553,2.291817038891673,0.4346164765196588,,0.993950567980025,4.821759339234366
SCLJ,1024.0,,1.0,,8.0,0.85,-1.75416,2.337047419757392,0.4799578293007255,,0.9945539931353572,4.7808944747253825
SCLJ,1024.0,,1.0,,10.0,0.85,-1.644007,2.4228177467015684,0.5824654330520326,,0.9954345547693908,4.717009372796231